0 7.38696
0.02 5.57863
0.04 4.56238
0.06 3.99208
0.08 3.48136
0.1 3.16775
0.12 1.7188
0.14 2.37667
0.16 2.26203
0.18 2.0447
0.2 1.76892
0.22 1.75589
0.24 1.62102
0.26 1.47495
0.28 1.44395
0.3 1.34636
0.32 1.36654
0.34 1.23379
0.36 1.13198
0.38 1.11787
0.4 1.07388
0.42 1.02632
0.44 0.990534
0.46 0.932432
0.48 0.919281
0.5 0.86441
0.52 0.851752
0.54 0.840302
0.56 0.7944
0.58 0.783375
0.6 0.722766
0.62 0.740437
0.64 0.712822
0.66 0.688937
0.68 0.821461
0.7 0.657266
0.72 0.652927
0.74 0.616608
0.76 0.607026
0.78 0.572143
0.8 0.570269
0.82 0.590279
0.84 0.553524
0.86 0.530696
0.88 0.510521
0.9 0.513435
0.92 0.499607
0.94 0.485755
0.96 0.487598
0.98 0.511291
1 0.469811
