0 7.84867
0.02 4.49948
0.04 5.51857
0.06 3.66153
0.08 3.53208
0.1 3.25237
0.12 3.23171
0.14 2.34202
0.16 2.3359
0.18 1.98466
0.2 1.92332
0.22 1.75153
0.24 1.62729
0.26 1.47518
0.28 1.4742
0.3 1.46809
0.32 1.14502
0.34 1.27295
0.36 1.22597
0.38 1.22667
0.4 1.13178
0.42 0.614728
0.44 0.9385
0.46 0.995082
0.48 0.92622
0.5 0.764212
0.52 0.903826
0.54 0.642709
0.56 0.915109
0.58 1.26045
0.6 0.794378
0.62 0.877863
0.64 0.761639
0.66 0.721869
0.68 0.695759
0.7 0.740354
0.72 0.709811
0.74 0.668928
0.76 0.491868
0.78 0.620302
0.8 0.621305
0.82 0.610373
0.84 0.637756
0.86 0.588267
0.88 0.588551
0.9 0.611981
0.92 0.562133
0.94 0.561861
0.96 0.571415
0.98 0.512347
1 0.495273
