0 -2.29483 -0.232038 -0.101994 -1.51614
0.0002 -2.30393 -0.245726 -0.0947647 -1.50328
0.0004 -2.31182 -0.260172 -0.0881573 -1.49015
0.0006 -2.31851 -0.275362 -0.0821772 -1.47674
0.0008 -2.32399 -0.291286 -0.0768302 -1.46308
0.001 -2.32825 -0.30793 -0.0721216 -1.44917
0.0012 -2.3313 -0.32528 -0.0680563 -1.43502
0.0014 -2.33312 -0.343321 -0.064639 -1.42065
0.0016 -2.33373 -0.362039 -0.061874 -1.40607
0.0018 -2.33312 -0.381416 -0.0597651 -1.39128
0.002 -2.33129 -0.401435 -0.0583161 -1.3763
0.0022 -2.32825 -0.422079 -0.05753 -1.36115
0.0024 -2.324 -0.443329 -0.0574097 -1.34582
0.0026 -2.31855 -0.465166 -0.0579577 -1.33034
0.0028 -2.31191 -0.487569 -0.0591761 -1.31471
0.003 -2.30408 -0.510519 -0.0610667 -1.29895
0.0032 -2.29507 -0.533994 -0.0636306 -1.28306
0.0034 -2.2849 -0.557972 -0.0668688 -1.26705
0.0036 -2.27357 -0.58243 -0.0707819 -1.25094
0.0038 -2.2611 -0.607345 -0.07537 -1.23474
0.004 -2.2475 -0.632694 -0.0806327 -1.21845
0.0042 -2.23278 -0.658452 -0.0865693 -1.20209
0.0044 -2.21697 -0.684595 -0.0931787 -1.18566
0.0046 -2.20008 -0.711097 -0.100459 -1.16918
0.0048 -2.18212 -0.737932 -0.108409 -1.15265
0.005 -2.16312 -0.765075 -0.117026 -1.13609
0.0052 -2.1431 -0.792499 -0.126307 -1.11951
0.0054 -2.12207 -0.820177 -0.136248 -1.10291
0.0056 -2.10007 -0.848081 -0.146846 -1.0863
0.0058 -2.0771 -0.876184 -0.158096 -1.0697
0.006 -2.0532 -0.904459 -0.169995 -1.0531
0.0062 -2.02838 -0.932877 -0.182536 -1.03653
0.0064 -2.00268 -0.96141 -0.195715 -1.01999
0.0066 -1.97613 -0.990028 -0.209524 -1.00348
0.0068 -1.94873 -1.0187 -0.223959 -0.987021
0.007 -1.92054 -1.04741 -0.23901 -0.970616
0.0072 -1.89156 -1.07611 -0.254672 -0.954275
0.0074 -1.86184 -1.10479 -0.270936 -0.938004
0.0076 -1.8314 -1.13341 -0.287793 -0.921813
0.0078 -1.80027 -1.16194 -0.305235 -0.905709
0.008 -1.76848 -1.19035 -0.323252 -0.889701
0.0082 -1.73607 -1.21862 -0.341835 -0.873794
0.0084 -1.70306 -1.24671 -0.360972 -0.857999
0.0086 -1.66948 -1.2746 -0.380654 -0.84232
0.0088 -1.63538 -1.30226 -0.400868 -0.826767
0.009 -1.60078 -1.32966 -0.421604 -0.811347
0.0092 -1.56571 -1.35677 -0.442847 -0.796066
0.0094 -1.53021 -1.38357 -0.464587 -0.780932
0.0096 -1.49432 -1.41002 -0.486809 -0.765951
0.0098 -1.45806 -1.4361 -0.5095 -0.751131
0.01 -1.42148 -1.46178 -0.532645 -0.736478
0.0102 -1.3846 -1.48704 -0.556231 -0.721999
0.0104 -1.34747 -1.51185 -0.580241 -0.707701
0.0106 -1.31011 -1.53618 -0.60466 -0.693591
0.0108 -1.27256 -1.56001 -0.629472 -0.679674
0.011 -1.23486 -1.58332 -0.654661 -0.665957
0.0112 -1.19704 -1.60607 -0.680209 -0.652446
0.0114 -1.15913 -1.62825 -0.7061 -0.639148
0.0116 -1.12117 -1.64984 -0.732315 -0.626069
0.0118 -1.08321 -1.6708 -0.758836 -0.613214
0.012 -1.04526 -1.69112 -0.785645 -0.600591
0.0122 -1.00736 -1.71078 -0.812723 -0.588204
0.0124 -0.969553 -1.72975 -0.840049 -0.576061
0.0126 -0.931869 -1.74803 -0.867605 -0.564166
0.0128 -0.89434 -1.76558 -0.89537 -0.552525
0.013 -0.857002 -1.78239 -0.923323 -0.541144
0.0132 -0.819885 -1.79844 -0.951444 -0.530029
0.0134 -0.783024 -1.81371 -0.979712 -0.519185
0.0136 -0.746449 -1.8282 -1.0081 -0.508618
0.0138 -0.710194 -1.84188 -1.0366 -0.498333
0.014 -0.674288 -1.85473 -1.06518 -0.488336
0.0142 -0.638764 -1.86676 -1.09381 -0.478632
0.0144 -0.603651 -1.87793 -1.12248 -0.469225
0.0146 -0.568979 -1.88825 -1.15116 -0.460123
0.0148 -0.534776 -1.8977 -1.17984 -0.451328
0.015 -0.501072 -1.90626 -1.20848 -0.442847
0.0152 -0.467895 -1.91394 -1.23706 -0.434685
0.0154 -0.43527 -1.92072 -1.26556 -0.426846
0.0156 -0.403226 -1.9266 -1.29396 -0.419335
0.0158 -0.371787 -1.93157 -1.32222 -0.412157
0.016 -0.34098 -1.93562 -1.35034 -0.405317
0.0162 -0.310827 -1.93875 -1.37827 -0.398819
0.0164 -0.281353 -1.94095 -1.406 -0.392667
0.0166 -0.25258 -1.94223 -1.43351 -0.386866
0.0168 -0.22453 -1.94259 -1.46077 -0.381421
0.017 -0.197225 -1.94201 -1.48775 -0.376335
0.0172 -0.170684 -1.94051 -1.51443 -0.371613
0.0174 -0.144928 -1.93808 -1.54078 -0.367258
0.0176 -0.119974 -1.93472 -1.56679 -0.363274
0.0178 -0.0958399 -1.93044 -1.59242 -0.359665
0.018 -0.0725431 -1.92525 -1.61766 -0.356435
0.0182 -0.0500991 -1.91914 -1.64247 -0.353587
0.0184 -0.0285229 -1.91213 -1.66684 -0.351125
0.0186 -0.00782844 -1.90422 -1.69074 -0.34905
0.0188 0.0119712 -1.89541 -1.71414 -0.347368
0.019 0.0308638 -1.88572 -1.73703 -0.346079
