1 10 2.06327 1.02568
3 10 1.85044 1.03208
10 10 1.44138 1.03929
30 10 1.19574 1.03284
100 10 1.09348 1.0396
1 5 2.00905 1.03457
3 5 1.66572 1.04293
10 5 1.28352 1.03538
30 5 1.13387 1.04042
100 5 1.06926 1.03988
1 1 1.87202 1.04041
3 1 1.47842 1.03155
10 1 1.22209 1.03448
30 1 1.10734 1.03797
100 1 1.06293 1.04091
1 0.5 1.85084 1.03917
3 0.5 1.53675 1.04455
10 0.5 1.2783 1.02869
30 0.5 1.15344 1.04366
100 0.5 1.07372 1.03931
1 0.1 1.83886 1.02318
3 0.1 1.5499 1.02788
10 0.1 1.4354 1.04053
30 0.1 1.32064 1.04114
100 0.1 1.17302 1.03683
