0 7.63159 1248654
0.02 5.74331 1248672
0.04 5.05913 1248768
0.06 4.24664 1247988
0.08 3.46072 1249584
0.1 3.21196 1247949
0.12 2.0931 1247886
0.14 2.41944 1248241
0.16 2.26283 1248479
0.18 2.04963 1249275
0.2 1.99648 1248802
0.22 1.68866 1248677
0.24 1.67646 1247900
0.26 1.61127 1248336
0.28 1.46297 1248902
0.3 1.38627 1248986
0.32 1.4188 1248658
0.34 1.22852 1247240
0.36 1.20052 1248346
0.38 1.15516 1248630
0.4 1.05504 1247789
0.42 1.0156 1248324
0.44 1.0002 1250041
0.46 0.942748 1246752
0.48 0.907617 1249793
0.5 0.94926 1248886
0.52 0.833765 1249405
0.54 0.827549 1248233
0.56 0.808883 1249136
0.58 0.7748 1248321
0.6 0.757501 1248109
0.62 0.742059 1248608
0.64 0.695478 1249897
0.66 0.692711 1248724
0.68 0.56287 1247384
0.7 0.651444 1247557
0.72 0.615112 1249236
0.74 0.6217 1249535
0.76 0.596839 1249949
0.78 0.544216 1249243
0.8 0.577182 1248994
0.82 0.558548 1248965
0.84 0.561508 1249496
0.86 0.534379 1249359
0.88 0.511437 1248352
0.9 0.508855 1249761
0.92 0.513139 1248507
0.94 0.521326 1249687
0.96 0.485871 1249482
0.98 0.515254 1249506
1 0.453792 1248767
